profile_id,estimation_version,n_designs,reestimation_successful,beta_satellite.mean,beta_satellite.median,beta_satellite.std,m_c.mean,m_c.median,m_c.std,m_o.mean,m_o.median,m_o.std,m_u.mean,m_u.median,m_u.std,r_o.mean,r_o.median,r_o.std,r_u.mean,r_u.median,r_u.std,mu.mean,mu.median,mu.std
f45c0401-7648-48cf-8896-db3fb7ac6658,reestimation_v2,10,1,-0.739263095281199,-0.4998875297505363,1.3129277676336015,-1.1442071522434003,-1.3540984510494578,2.821083454495248,3.9063223626860353,3.965145347163393,1.6176574298727173,0.6294107159131208,0.036012628236195,2.9980393332549973,-1.8363534996837219,-1.674179276173917,1.6433299632640108,0.3348274791538544,0.37024966684824456,0.9659401737788681,1.4192856654390142,1.3832598524167328,0.2643525374515117
842320ce-b20c-477d-b5c5-0c7a474d1390,reestimation_v2,6,1,1.918140211360926,1.7968672598591258,1.5305474636775895,-2.27515486718697,-2.393963146535386,2.964747896236148,2.08581487342264,2.1591211362592486,2.5692718834270654,2.9027255203621403,2.917743419946765,2.33808902093739,-1.0722049026692098,-1.1250433213486741,2.0484559591083813,0.27006911440047227,0.3790859794757977,1.0819363534598034,1.4875250459672245,1.5032543155828466,0.2814361190547381
00d4efd2-84c8-4440-a848-a540b305f2db,reestimation_v2,10,1,0.342304509329153,0.4029978734305975,1.3219961007498526,6.89758325271975,6.972437424676045,2.5554263860296915,8.998426258750033,9.355018190584907,2.0173283788981125,6.7910552470930385,7.375988322417971,2.1112692947838996,-0.9114882370371077,-0.7942796067373797,1.957313249544284,0.38816952166663155,0.5666499496840978,0.8337985236838297,1.21096908813393,1.095106121958403,0.22205815297720563
4e5336b3-8c33-457f-8420-d2e488bf9f9e,reestimation_v2,10,1,2.696289883137839,2.2837357473135556,1.2174864850829503,8.159217330826278,8.51950803530811,2.077108447434678,9.380183874359544,8.766579259790907,1.8112053714578944,5.162493274064103,4.825595541043929,1.6028411734392798,0.8266802861370984,1.0303093708747242,1.7937007248076566,0.5304018957961807,0.7884752360829156,0.944278628797227,1.3403887418128653,1.374282201202362,0.21162813276059295
5549d81a-da50-4fce-b40d-f3de0df48385,reestimation_v2,11,1,4.2413607344033375,4.591898878268732,1.443370586692063,5.29970391516798,4.662168361988906,2.04947803128295,8.417159446159001,7.549570227052403,2.601417964453695,7.974439549789242,8.077226118459027,1.8128807615386422,3.8330519326875243,4.053569886840145,1.6057794185747287,0.42024529196579424,0.32323578662969543,1.338587927110374,1.5568291970017518,1.577763875208924,0.27490926914029545
20c9dcb0-a667-4776-9aa3-07fa5f7a02e0,reestimation_v2,10,1,-1.4489135760756588,-1.2217295507706227,1.6130281976169987,6.409534292787825,6.333462605103009,2.4161563436289786,7.98021572320265,8.19421128684226,2.314069739124108,0.27800190070931896,0.2444855476650809,2.5140290073835008,-0.8177080016045429,-0.6173949464724705,1.6887491889255615,-0.0778205381588239,-0.05945871944004824,1.0850692060345402,1.1598740010475201,1.0567242092075346,0.22975071232275437
47ce0b25-274f-40c0-b9d5-85dfb53ba77a,reestimation_v2,10,1,2.321219150503555,2.0207368784118938,1.5784179677849537,1.2478140203172066,1.4774466734416807,3.8932076197126038,11.346811621505,11.859233229019596,1.8582671755137827,4.643533747952674,4.415816112973102,2.1025407255084794,-0.3523351590373564,-0.670421665881087,2.0430663896851797,0.7548331575517604,0.8307474138814436,0.9594504593938948,1.3712943999460432,1.3571872303689472,0.2689416252398106
2c2a2e43-1189-4fba-9d75-07f7b5b44a2f,reestimation_v2,10,1,0.2656453305419189,0.24329212885962193,1.329470369081325,-0.5933858180200524,-0.3707117651703451,1.6288718115838285,-0.9161483053189142,-1.0738500219025857,1.2890245119668544,1.9918160360825197,1.8011516452720586,3.3744230230432786,-1.9773842047363668,-1.9491317143471427,2.012035337346709,0.29891714763267135,0.42037488212862034,1.2417432683556875,1.537941914604656,1.5610895939732734,0.3132747859443424
9bba1308-e4cc-4062-956c-0f50dbbafb16,reestimation_v2,10,1,-2.6176416147295933,-2.8303864223479547,1.2336806929698092,2.47537207867911,2.738071679062849,1.5934797895473467,1.2458741203177819,1.3407307880507755,1.3675208482514636,0.37440842224611953,-0.02218736397938237,2.7359001571666797,-0.5912193382659446,-0.10313727604644718,2.358318499946152,-0.10578150000508185,-0.10273743333632329,1.1142039245639048,1.346833311552335,1.2703842235461447,0.22572146096441942
9bbe4d77-a18e-4058-b6f1-fada3387d1e9,reestimation_v2,10,1,1.223662468231643,1.0983400844264317,1.090108977208895,3.0463047937593806,3.007001862844276,1.2030109363352903,4.120814389172783,4.201203571912416,1.7028808668644055,-0.5177883042052317,-0.5697125281855457,2.5015220199580357,-0.7453586474076587,-0.9836389158982983,1.64230765784573,-0.2158353754627804,-0.48561223384290425,1.0572816454569776,1.3669726888767468,1.293335445844201,0.2546344212009293
53ec9287-f911-4f37-b1ad-e72dbfa2c32e,reestimation_v2,10,1,1.6413805243051645,1.3666059222157427,1.2631510750698298,-1.3014822423426096,-0.8934950231238323,1.5533075616020933,1.2460517060446985,1.0316956796491303,2.070516408198493,0.151891235881973,0.03574827532365865,3.234692914254654,-1.2950898681829779,-1.0584272667857182,2.132030734131594,0.47299259328404386,0.4859057512942629,1.005582836333669,1.529966708691718,1.5913558944576187,0.27835300969297516
b89a6120-3d13-48e1-b87d-39d8f455444b,reestimation_v2,10,1,1.8651511949675639,1.7741613995696675,1.2981900286615806,4.797542331251012,4.670480192322765,2.097856583427832,7.643614496776175,7.7511258774421865,1.1057626470252393,-0.26508646791679885,-0.018217709711336516,1.9694374567060444,-1.106253493237297,-1.0681654664328928,2.0682572245110267,0.1018441022642041,0.16026884094471527,0.9837703966191931,1.4293194030559193,1.371230584555068,0.30303974247193055
92fae2c8-b637-4faa-9354-fa2feb5ed614,reestimation_v2,2,1,1.0530537564243632,0.9932585446427972,1.6942306181635969,0.3954073543908943,-0.17177744391272443,4.124568759883015,4.102849766105366,4.283663897590352,2.2916263436754747,0.7753984864918481,0.7423002488714756,3.079872242271006,0.3801284758660675,0.322128880804635,1.8175714453452565,0.04905365185909289,0.08617935348995887,1.003554405811154,1.5203843514620228,1.5187595089952393,0.2992092351522306
fb4c9dc2-20ad-4807-94aa-5d1034c4b861,reestimation_v2,10,1,2.8560408057653155,2.1855985169883154,1.7435255890347934,1.0652876447720872,0.8571033811159687,2.637779042041203,1.0002516653791138,0.9219752500697935,2.4689324559815424,5.960790807986038,6.628761634560915,1.598377141922883,-1.1372058993467378,-1.3374532659616185,1.5619602253890295,0.6835343098219065,0.4734410794300068,0.9039021745872158,1.436232069164721,1.4233818089198491,0.2872151652285097
