profile_id,estimation_version,n_designs,reestimation_successful,beta_satellite.mean,beta_satellite.median,beta_satellite.std,m0.mean,m0.median,m0.std,m1.mean,m1.median,m1.std,mu.mean,mu.median,mu.std
842320ce-b20c-477d-b5c5-0c7a474d1390,reestimation_v1,6,1,1.7597200028873994,1.7051454951492833,1.475816098238927,2.2213049153521074,2.174145683839056,1.985248786901388,-4.129069126102832,-3.5576671339385704,3.1920841124433865,1.1223396710952493,1.114750966335266,0.27133453256026435
5549d81a-da50-4fce-b40d-f3de0df48385,reestimation_v1,11,1,1.850125397134828,1.8667082598034996,1.405036695803383,14.650867563938183,14.504998731355961,2.131780595425747,-4.520803259751931,-4.029077400794562,3.2961225378668693,1.1868815299868654,1.2156528124130819,0.27519419375356685
9bba1308-e4cc-4062-956c-0f50dbbafb16,reestimation_v1,10,1,-2.650765955183726,-2.50134308178768,1.4533545737726914,2.069561133997738,2.1162605103230145,1.7702625603939004,0.9371893479258179,0.735776182389716,1.740413275319266,1.0239237509762762,0.9979312896268293,0.25383669435465994
9bbe4d77-a18e-4058-b6f1-fada3387d1e9,reestimation_v1,10,1,0.4298864447967473,0.40157067417060727,1.0096324235336904,3.1662528037207234,3.327803136473571,1.3787807309148126,-1.3891137372491078,-1.3334939403289792,1.9930678879629586,1.131693563873844,1.1410076184618838,0.28531186639085543
53ec9287-f911-4f37-b1ad-e72dbfa2c32e,reestimation_v1,10,1,1.4258637408043313,1.2786358449105386,1.32611269458998,-0.7792545908528388,-0.6578058450191215,1.5823283447232248,-1.8672494931068118,-1.8180307206150466,2.0949482268710296,1.1636564060377361,1.1610766690845944,0.255465446795823
b89a6120-3d13-48e1-b87d-39d8f455444b,reestimation_v1,10,1,1.2236772764545631,1.1069271404613983,1.0727575694570939,4.041757226956014,4.2891625397884425,1.2035247328732601,-5.890614261874632,-6.203882690300851,2.5910013679621264,1.1111692543256606,1.0768515349146557,0.2542055460942118
92fae2c8-b637-4faa-9354-fa2feb5ed614,reestimation_v1,2,1,-0.06000798736466605,-0.18404286457653418,1.904967662402586,5.6979779442060146,5.727976083126532,3.6899934478043366,-1.1445245877054553,-1.299850299488333,3.674604088261102,1.141941582418233,1.1465981343864458,0.2838185380305022
d0fd2764-f1fb-4b64-be7c-4c4cb6f6bd32,reestimation_v1,10,1,0.8989675863544929,0.9458549329720645,1.3035553267259947,3.715810625486145,3.6214999120772626,1.6000079339220754,-1.2890933730742218,-1.1483079689704558,1.860066124464702,1.0000572954310265,0.978179591218236,0.24407002991921656
2dc3a7ce-3216-4a37-97f0-2e4cbdace983,reestimation_v1,6,0,,,,,,,,,,,,
912d1e98-5350-4c04-872b-a8ce3bb9a252,reestimation_v1,10,1,-3.965001946333608,-3.847326990504475,1.747788196529366,5.5613970632730885,5.575796964840559,1.7857501917531557,-1.4428273156458165,-1.4495483470882085,2.1771277957979476,0.9027331584825355,0.8086117815466566,0.2376873645990152
